order_id,customer_id,product_id,quantity,amount,order_date,status
168,36,99,7,176.54,2025-05-29,delivered
169,1,37,5,420.36,2025-04-22,cancelled
170,20,58,9,247.33,2025-08-26,cancelled
171,59,42,4,490.58,2025-10-13,cancelled
172,30,100,7,31.39,2025-06-15,cancelled
173,50,85,3,252.71,2026-01-25,shipped
174,65,76,6,436.15,2025-07-02,pending
175,68,59,1,364.0,2025-07-18,shipped
176,10,61,5,175.9,2025-02-23,cancelled
177,84,11,6,427.65,2025-05-15,cancelled
178,41,81,8,437.47,2026-01-25,pending
179,31,81,5,498.74,2025-12-28,cancelled
180,13,98,2,227.4,2025-02-22,delivered
181,4,6,6,400.11,2025-09-15,delivered
182,48,56,3,129.66,2025-07-17,shipped
183,22,23,2,308.65,2025-08-01,shipped
184,64,75,3,123.77,2025-03-23,delivered
185,59,33,1,450.47,2025-06-19,delivered
186,87,70,3,46.19,2025-08-20,delivered
187,82,55,5,233.85,2025-09-11,shipped
188,50,62,2,126.23,2025-04-26,delivered
189,74,38,5,20.75,2025-03-12,cancelled
190,36,2,10,433.88,2026-01-18,cancelled
191,37,100,4,307.46,2025-08-16,shipped
192,82,25,10,132.81,2025-03-12,shipped
193,81,13,1,161.38,2025-07-02,pending
194,75,47,3,54.17,2025-09-14,delivered
195,96,54,3,108.39,2025-05-12,delivered
196,68,65,5,416.93,2025-10-04,cancelled
197,38,96,6,404.07,2025-06-18,pending
198,19,97,4,431.47,2025-03-04,cancelled
199,72,47,2,397.43,2026-02-05,delivered
200,69,16,8,190.61,2025-03-05,delivered
201,75,49,6,63.09,2025-10-16,cancelled
202,4,80,9,170.72,2025-04-06,shipped
203,83,9,8,455.6,2025-09-11,cancelled
204,15,18,1,473.67,2025-09-10,cancelled
205,15,13,4,444.76,2025-12-05,cancelled
206,59,48,9,215.37,2025-11-25,cancelled
207,84,13,8,311.67,2025-09-22,pending
208,89,48,4,227.26,2025-10-15,delivered
209,13,88,6,276.79,2025-03-19,delivered
210,8,51,5,103.01,2025-12-12,cancelled
211,12,85,4,324.44,2025-04-13,pending
212,7,43,4,494.52,2025-04-29,shipped
213,9,98,9,111.51,2025-10-25,shipped
214,43,100,3,396.44,2025-04-13,pending
215,36,19,3,274.71,2025-11-15,pending
216,85,4,3,17.28,2025-10-14,delivered
217,3,23,5,35.68,2025-07-12,pending
218,96,9,8,229.65,2025-08-11,pending
219,58,65,4,473.25,2026-01-21,delivered
220,59,83,1,39.8,2025-06-12,cancelled
221,55,88,2,250.23,2025-06-30,pending
222,11,42,10,82.68,2025-12-10,delivered
223,80,82,10,278.69,2025-08-30,cancelled
224,77,68,5,232.32,2025-04-09,cancelled
225,13,90,2,427.87,2025-03-16,shipped
226,56,58,4,212.77,2025-06-25,cancelled
227,54,94,2,163.15,2025-09-05,delivered
228,48,20,8,42.9,2025-12-31,pending
229,56,13,6,407.77,2025-05-04,pending
230,76,72,9,171.53,2025-12-12,cancelled
231,46,86,7,435.37,2026-01-17,delivered
232,77,40,6,60.76,2025-05-29,shipped
233,20,85,8,119.88,2025-12-19,delivered
234,72,48,2,383.68,2025-04-25,shipped
235,55,72,10,310.65,2025-03-20,pending
236,78,85,5,24.19,2025-09-26,delivered
237,44,45,1,98.89,2025-12-01,cancelled
238,9,19,1,54.96,2025-05-17,shipped
239,49,54,8,177.04,2025-08-07,delivered
240,93,42,10,302.15,2026-01-17,shipped
241,21,97,10,34.38,2026-01-02,delivered
242,57,85,7,247.97,2025-07-01,cancelled
243,35,28,9,65.77,2025-07-07,pending
244,37,87,10,248.45,2025-03-08,delivered
245,6,29,7,492.38,2026-01-15,pending
246,27,39,4,386.0,2025-10-05,delivered
247,42,16,1,253.72,2025-07-07,shipped
248,17,49,9,354.8,2025-06-01,delivered
249,10,51,1,223.75,2025-06-22,pending
250,41,74,7,290.97,2025-02-14,cancelled
251,38,15,7,20.22,2025-08-30,shipped
252,80,59,6,53.18,2025-12-20,shipped
253,56,76,7,266.74,2025-07-25,delivered
254,96,44,4,173.2,2025-11-18,pending
255,66,82,2,270.0,2025-11-05,delivered
256,45,94,3,125.77,2025-11-30,delivered
257,26,23,10,84.91,2025-03-14,pending
258,23,99,8,237.34,2025-04-30,cancelled
259,88,73,10,168.37,2025-03-28,delivered
260,20,57,2,239.77,2025-03-26,delivered
261,36,76,1,182.45,2026-01-06,delivered
262,60,58,1,37.88,2025-09-19,pending
263,83,12,10,301.1,2025-07-31,cancelled
264,75,71,1,230.37,2025-04-26,shipped
265,42,78,8,255.67,2026-01-12,cancelled
266,14,44,2,257.23,2025-11-16,pending
267,32,91,8,495.58,2025-05-20,shipped
268,47,48,5,199.83,2025-08-23,pending
269,81,83,6,42.3,2025-12-26,cancelled
270,37,33,10,437.91,2025-08-26,pending
271,75,85,3,459.21,2025-09-07,cancelled
272,17,77,2,161.7,2025-08-04,delivered
273,17,86,9,55.79,2025-03-06,cancelled
274,66,47,1,187.67,2025-11-12,shipped
275,44,99,8,104.08,2025-12-04,shipped
276,10,38,2,258.77,2025-05-12,pending
277,85,44,10,74.21,2025-08-04,shipped
278,21,24,10,406.43,2025-11-20,cancelled
279,6,53,6,341.42,2025-10-14,cancelled
280,79,37,8,124.66,2025-10-13,delivered
281,61,25,6,342.37,2025-04-26,cancelled
282,60,99,5,391.28,2025-05-31,cancelled
283,21,26,10,77.82,2025-10-07,pending
284,83,62,6,281.72,2025-12-22,pending
285,37,11,3,143.67,2025-05-26,shipped
286,56,12,4,410.18,2025-08-18,pending
287,54,7,7,255.98,2025-10-15,cancelled
288,11,48,4,23.81,2025-12-24,delivered
289,19,18,1,150.57,2025-06-16,shipped
290,98,91,8,229.81,2026-02-10,pending
291,3,33,4,419.13,2025-05-08,cancelled
292,15,100,5,126.44,2025-12-12,pending
293,31,54,10,233.99,2025-12-18,cancelled
294,77,69,1,319.66,2025-04-24,shipped
295,92,19,5,220.33,2025-04-04,delivered
296,31,74,7,101.78,2025-03-07,pending
297,68,47,2,477.17,2025-05-10,pending
298,50,61,1,321.48,2025-08-05,delivered
299,96,3,6,396.37,2025-08-20,shipped
300,94,85,2,388.04,2025-08-26,shipped
301,6,46,9,175.89,2025-03-20,shipped
302,100,88,8,490.6,2025-06-12,shipped
303,18,9,8,28.12,2025-11-01,pending
304,26,6,6,467.35,2025-05-25,cancelled
305,70,61,5,27.94,2025-03-18,shipped
306,37,46,1,434.24,2025-08-27,delivered
307,16,48,7,445.85,2025-07-02,cancelled
308,44,24,8,349.11,2025-08-08,delivered
309,11,94,7,48.67,2025-04-10,shipped
310,70,38,6,60.27,2025-08-29,delivered
311,40,58,10,361.65,2025-11-19,cancelled
312,45,58,1,366.14,2025-08-16,cancelled
313,36,82,1,46.77,2025-03-23,cancelled
314,47,66,3,476.87,2025-12-01,cancelled
315,5,17,2,125.64,2025-03-19,delivered
316,47,50,10,25.87,2025-11-26,cancelled
317,48,48,8,383.91,2025-04-25,shipped
318,68,47,7,164.05,2025-09-23,shipped
319,15,4,3,254.53,2025-07-29,pending
320,34,100,5,354.98,2025-10-26,delivered
321,89,63,4,70.09,2026-01-06,cancelled
322,23,92,8,498.66,2025-02-28,delivered
323,86,45,2,279.5,2025-09-17,delivered
324,21,92,3,398.91,2025-05-28,shipped
325,16,26,3,126.0,2025-06-05,pending
326,47,71,10,190.77,2025-05-06,shipped
327,79,12,2,161.55,2025-06-12,cancelled
328,99,53,10,46.14,2025-09-03,pending
329,58,60,9,178.81,2025-05-06,shipped
330,99,17,7,256.4,2026-01-15,pending
331,67,20,5,90.68,2025-08-31,shipped
332,45,67,5,424.51,2025-10-07,shipped
333,82,71,5,71.33,2025-09-10,pending
334,65,83,3,299.99,2025-04-21,shipped
335,22,85,10,363.11,2025-04-09,delivered
336,73,6,1,49.8,2025-03-21,delivered
337,84,27,10,214.13,2025-03-22,pending
338,64,81,9,151.94,2025-09-11,cancelled
339,32,88,7,155.74,2026-01-06,pending
340,21,57,7,247.28,2025-10-31,delivered
341,78,19,6,432.13,2025-09-02,delivered
342,52,17,6,262.34,2025-12-20,delivered
343,31,60,2,141.06,2025-10-09,shipped
344,13,7,5,473.24,2025-04-03,cancelled
345,32,21,6,467.54,2025-09-05,shipped
346,98,21,8,498.03,2025-06-18,cancelled
347,40,64,1,54.12,2025-07-26,cancelled
348,31,28,10,182.92,2026-01-18,delivered
349,64,77,8,150.02,2026-02-08,pending
350,56,18,5,366.48,2025-07-21,delivered
351,6,52,1,289.44,2025-11-05,delivered
352,71,37,2,199.31,2025-06-27,delivered
353,80,88,10,68.22,2025-12-25,cancelled
354,48,44,9,470.08,2025-12-01,shipped
355,78,66,7,255.04,2026-01-20,pending
356,18,92,6,403.94,2025-05-23,cancelled
357,20,78,9,78.49,2025-04-05,delivered
358,21,51,10,372.27,2025-09-12,delivered
359,65,66,9,250.02,2025-04-30,delivered
360,61,3,6,172.31,2025-12-18,cancelled
361,75,40,1,302.49,2025-09-30,shipped
362,93,7,10,245.42,2025-05-20,cancelled
363,19,88,4,25.47,2025-02-19,pending
364,25,3,8,163.71,2025-11-27,cancelled
365,89,27,7,255.89,2025-04-05,cancelled
366,95,94,1,355.83,2025-05-23,shipped
367,72,42,8,267.48,2025-09-05,shipped
368,59,69,6,277.67,2025-03-03,delivered
369,79,62,4,479.1,2025-09-23,delivered
370,29,39,5,355.4,2025-02-24,cancelled
371,41,62,6,284.64,2025-09-25,delivered
372,16,74,9,196.05,2025-07-25,delivered
373,99,19,5,30.61,2025-02-12,pending
374,45,57,5,376.2,2025-10-26,shipped
375,69,35,9,351.12,2025-12-04,pending
376,79,95,10,127.25,2026-01-18,shipped
377,82,30,1,59.1,2025-08-27,cancelled
378,13,88,3,12.54,2025-05-07,shipped
379,53,84,8,243.95,2025-11-02,delivered
380,42,37,1,454.89,2025-12-29,shipped
381,69,95,1,457.48,2025-11-15,cancelled
382,23,5,7,396.1,2025-11-09,delivered
383,5,2,5,288.3,2025-12-20,delivered
384,37,59,9,266.92,2025-12-06,cancelled
385,35,25,2,172.04,2025-06-23,delivered
386,92,24,1,370.94,2025-09-14,shipped
387,23,79,7,415.23,2025-05-25,delivered
388,12,52,2,100.54,2025-12-03,cancelled
389,42,32,1,137.78,2025-10-15,cancelled
390,97,35,6,157.95,2025-04-25,pending
391,34,84,6,349.46,2026-01-12,pending
392,60,40,3,208.65,2025-05-31,delivered
393,89,16,5,190.1,2025-10-22,shipped
394,18,62,3,232.94,2025-04-08,delivered
395,54,90,9,457.27,2025-05-13,shipped
396,98,32,10,437.84,2026-01-02,cancelled
397,68,91,6,48.27,2025-04-30,pending
398,8,71,9,109.06,2025-05-14,shipped
399,22,42,9,226.5,2025-03-01,shipped
400,92,75,8,54.56,2025-05-27,cancelled
401,8,59,3,261.49,2025-06-24,pending
402,72,60,5,364.41,2025-07-25,delivered
403,1,96,4,293.37,2026-01-20,cancelled
404,45,90,2,275.17,2026-01-13,pending
405,61,5,5,210.34,2025-12-05,cancelled
406,48,49,8,436.11,2025-08-03,cancelled
407,11,88,9,75.17,2025-08-18,pending
408,23,69,7,269.13,2025-10-21,pending
409,97,3,5,236.87,2025-05-10,cancelled
410,69,49,4,131.28,2025-08-19,shipped
411,36,25,2,25.79,2025-03-11,cancelled
412,79,99,1,127.93,2026-01-09,pending
413,77,5,8,302.91,2025-02-17,pending
414,32,95,1,207.11,2025-10-16,shipped
415,97,100,1,78.67,2025-09-17,shipped
416,94,74,6,292.96,2025-03-05,delivered
417,31,39,3,492.99,2025-05-22,shipped
418,53,39,5,39.87,2025-04-16,shipped
419,81,87,7,282.37,2026-01-19,delivered
420,83,86,7,395.04,2025-09-02,cancelled
421,53,20,5,194.47,2025-05-13,cancelled
422,31,29,5,430.2,2025-12-01,cancelled
423,8,72,7,484.22,2025-05-03,shipped
424,50,32,5,109.63,2025-03-18,pending
425,58,48,2,272.46,2025-11-07,pending
426,35,49,10,305.43,2026-01-06,shipped
427,98,76,9,116.34,2025-10-29,delivered
428,39,2,4,469.21,2025-12-14,cancelled
429,32,90,10,354.85,2025-07-24,shipped
430,71,42,5,196.52,2025-05-15,delivered
431,40,34,6,261.28,2025-06-03,cancelled
432,13,93,8,383.2,2025-09-02,shipped
433,48,41,7,32.4,2025-10-22,shipped
434,3,34,9,468.03,2025-04-22,cancelled
435,38,20,4,171.63,2025-08-02,shipped
436,64,71,6,136.09,2025-06-07,cancelled
437,59,22,6,92.94,2025-05-09,cancelled
438,24,70,1,266.73,2026-01-05,pending
439,98,1,7,77.37,2025-03-27,shipped
440,9,91,3,14.48,2025-05-30,cancelled
441,48,8,10,322.49,2025-04-03,cancelled
442,85,63,1,13.24,2025-05-06,cancelled
443,2,3,9,363.87,2025-05-14,delivered
444,3,65,7,405.02,2025-11-13,pending
445,13,68,3,128.07,2025-04-01,delivered
446,46,35,7,48.72,2025-07-20,cancelled
447,73,32,4,156.99,2026-01-02,pending
448,12,52,7,194.81,2025-06-14,pending
449,82,2,3,50.52,2025-07-05,delivered
450,73,13,9,460.38,2025-10-18,shipped
451,89,73,8,142.84,2026-01-05,delivered
452,70,73,1,97.88,2025-09-04,pending
453,27,76,3,378.6,2025-02-13,cancelled
454,10,39,3,286.34,2025-04-28,cancelled
455,87,70,6,198.08,2025-12-03,pending
456,65,96,6,36.31,2025-07-04,shipped
457,10,44,10,386.81,2025-04-14,cancelled
458,100,42,1,320.72,2025-06-27,cancelled
459,30,46,9,471.16,2025-07-06,shipped
460,88,75,7,51.99,2025-04-02,delivered
461,32,92,2,50.2,2025-11-26,cancelled
462,92,82,3,372.43,2025-09-03,delivered
463,14,12,1,472.05,2025-06-30,delivered
464,98,35,2,74.93,2025-11-09,cancelled
465,58,72,9,261.1,2025-12-22,pending
466,12,46,9,55.6,2025-04-12,delivered
467,50,2,5,212.77,2025-12-31,shipped
468,74,67,3,345.8,2025-11-18,shipped
469,35,39,5,251.63,2026-01-11,shipped
470,56,36,7,156.88,2026-01-04,delivered
471,33,32,8,300.97,2025-11-04,cancelled
472,14,18,5,13.32,2025-07-25,delivered
473,80,49,6,225.71,2025-07-07,shipped
474,39,42,10,474.17,2025-11-02,cancelled
475,41,23,7,484.68,2025-09-16,cancelled
476,74,32,6,194.27,2025-07-26,delivered
477,15,73,4,300.19,2025-05-09,shipped
478,88,99,9,23.19,2025-06-21,shipped
479,57,38,2,411.29,2025-07-18,cancelled
480,18,82,5,128.59,2025-03-12,shipped
481,92,55,7,46.24,2025-04-12,cancelled
482,75,52,9,258.24,2025-02-23,cancelled
483,70,5,6,353.8,2025-05-14,pending
484,14,99,4,332.22,2025-08-15,shipped
485,83,79,1,285.98,2025-03-19,cancelled
486,97,43,7,61.91,2025-12-24,delivered
487,29,66,9,283.42,2025-02-25,shipped
488,58,48,7,236.9,2025-03-02,shipped
489,45,4,8,61.23,2025-07-15,pending
490,15,94,3,180.68,2025-08-21,cancelled
491,27,67,8,180.67,2025-12-25,cancelled
492,93,90,8,166.27,2025-09-12,pending
493,91,15,1,426.1,2025-03-18,pending
494,87,22,4,262.84,2025-05-06,shipped
495,43,72,7,479.65,2025-10-17,cancelled
496,81,24,3,323.83,2025-07-06,cancelled
497,4,95,10,442.72,2025-06-27,cancelled
498,50,1,4,110.83,2025-02-17,pending
499,74,14,9,101.61,2025-08-30,shipped
500,59,15,5,338.64,2025-06-07,delivered
